date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:06:20	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Dec%202023%2016:06:19%20GMT	https://www.cafezouk.com/robots.txt		(from )
21:06:24	105954/105954	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Nov%202023%2009:56:30%20GMT	https://www.cafezouk.com/	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/index.html	(from )
21:06:26	28765/28765	---M--	200	added ('OK')	text/css	date:Tue,%2031%20May%202016%2011:46:37%20GMT	https://www.cafezouk.com/css/icon-font/font-awesome.css	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/css/icon-font/font-awesome.css	(from https://www.cafezouk.com/)
21:06:29	23182/23182	---M--	200	added ('OK')	text/css	date:Tue,%2031%20May%202016%2011:46:39%20GMT	https://www.cafezouk.com/css/icon-font/pe-icon-7.css	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/css/icon-font/pe-icon-7.css	(from https://www.cafezouk.com/)
21:06:30	3099/3099	---M--	200	added ('OK')	text/css	date:Tue,%2031%20May%202016%2011:45:17%20GMT	https://www.cafezouk.com/css/animsition.css	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/css/animsition.css	(from https://www.cafezouk.com/)
21:06:32	35364/35364	---M--	200	added ('OK')	text/css	date:Tue,%2031%20May%202016%2011:47:33%20GMT	https://www.cafezouk.com/revolution/css/settings.css	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/revolution/css/settings.css	(from https://www.cafezouk.com/)
21:06:36	121260/121260	---M--	200	added ('OK')	text/css	date:Tue,%2031%20May%202016%2011:45:20%20GMT	https://www.cafezouk.com/css/bootstrap.min.css	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/css/bootstrap.min.css	(from https://www.cafezouk.com/)
21:06:43	115205/115205	---M--	200	added ('OK')	text/css	date:Tue,%2031%20May%202016%2011:47:09%20GMT	https://www.cafezouk.com/revolution/css/layers.css	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/revolution/css/layers.css	(from https://www.cafezouk.com/)
21:06:45	59567/59567	---M--	200	added ('OK')	text/css	date:Tue,%2031%20May%202016%2011:47:30%20GMT	https://www.cafezouk.com/revolution/css/navigation.css	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/revolution/css/navigation.css	(from https://www.cafezouk.com/)
21:06:46	11084/11084	---M--	200	added ('OK')	application/javascript	date:Tue,%2031%20May%202016%2011:40:05%20GMT	https://www.cafezouk.com/js/modernizr.js	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/js/modernizr.js	(from https://www.cafezouk.com/)
21:06:47	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/hotnroll/www.google-analytics.com/analytics.js	(from https://www.cafezouk.com/)
21:06:47	2160/2160	---M--	200	added ('OK')	image/png	date:Tue,%2031%20May%202016%2011:44:26%20GMT	https://www.cafezouk.com/favicon-32x32.png	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/favicon-32x32.png	(from https://www.cafezouk.com/)
21:06:47	817/817	---M--	200	added ('OK')	image/png	date:Tue,%2031%20May%202016%2011:44:25%20GMT	https://www.cafezouk.com/favicon-16x16.png	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/favicon-16x16.png	(from https://www.cafezouk.com/)
21:06:48	105954/105954	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Nov%202023%2009:56:30%20GMT	https://www.cafezouk.com/index.html	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/index-2.html	(from https://www.cafezouk.com/)
21:06:48	197994/197994	---M--	200	added ('OK')	text/css	date:Thu,%2004%20Jun%202020%2016:43:24%20GMT	https://www.cafezouk.com/css/style.css	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/css/style.css	(from https://www.cafezouk.com/)
21:06:49	4371/4371	---M--	200	added ('OK')	image/png	date:Tue,%2031%20May%202016%2011:35:46%20GMT	https://www.cafezouk.com/images/logo/logo-restaurant-w.png	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/logo/logo-restaurant-w.png	(from https://www.cafezouk.com/)
21:06:50	13196/13196	---M--	200	added ('OK')	image/png	date:Tue,%2031%20May%202016%2011:35:49%20GMT	https://www.cafezouk.com/images/logo/logo-restaurant.png	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/logo/logo-restaurant.png	(from https://www.cafezouk.com/)
21:06:50	1254/1254	---M-Z	200	added ('OK')	text/html	date:Sat,%2006%20Jun%202020%2017:21:33%20GMT	https://www.cafezouk.com/order-online.html	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/order-online.html	(from https://www.cafezouk.com/)
21:06:55	403646/403646	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Nov%202023%2009:56:11%20GMT	https://www.cafezouk.com/images/hero-img/banner-banks-2.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/hero-img/banner-banks-2.jpg	(from https://www.cafezouk.com/)
21:06:59	349652/349652	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:30:39%20GMT	https://www.cafezouk.com/images/hero-img/3.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/hero-img/3.jpg	(from https://www.cafezouk.com/)
21:06:59	795161/795161	---M--	200	added ('OK')	image/jpeg	date:Thu,%2025%20Aug%202016%2013:42:35%20GMT	https://www.cafezouk.com/images/hero-img/5.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/hero-img/5.jpg	(from https://www.cafezouk.com/)
21:07:00	656912/656912	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:30:31%20GMT	https://www.cafezouk.com/images/hero-img/1.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/hero-img/1.jpg	(from https://www.cafezouk.com/)
21:07:00	190932/190932	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:30:51%20GMT	https://www.cafezouk.com/images/hero-img/6.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/hero-img/6.jpg	(from https://www.cafezouk.com/)
21:07:04	247315/247315	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:39:14%20GMT	https://www.cafezouk.com/images/The%20Restaurant/TheRest.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/The%20Restaurant/TheRest.jpg	(from https://www.cafezouk.com/)
21:07:04	273044/273044	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:30:43%20GMT	https://www.cafezouk.com/images/hero-img/4.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/hero-img/4.jpg	(from https://www.cafezouk.com/)
21:07:04	124459/124459	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:38:35%20GMT	https://www.cafezouk.com/images/Special%20Dishes/Sp1.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/Special%20Dishes/Sp1.jpg	(from https://www.cafezouk.com/)
21:07:05	588279/588279	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:30:55%20GMT	https://www.cafezouk.com/images/hero-img/7.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/hero-img/7.jpg	(from https://www.cafezouk.com/)
21:07:05	131881/131881	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:38:38%20GMT	https://www.cafezouk.com/images/Special%20Dishes/Sp10.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/Special%20Dishes/Sp10.jpg	(from https://www.cafezouk.com/)
21:07:05	129892/129892	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:38:52%20GMT	https://www.cafezouk.com/images/Special%20Dishes/Sp5.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/Special%20Dishes/Sp5.jpg	(from https://www.cafezouk.com/)
21:07:06	120057/120057	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:38:56%20GMT	https://www.cafezouk.com/images/Special%20Dishes/Sp6.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/Special%20Dishes/Sp6.jpg	(from https://www.cafezouk.com/)
21:07:07	97598/97598	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:39:02%20GMT	https://www.cafezouk.com/images/Special%20Dishes/Sp8.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/Special%20Dishes/Sp8.jpg	(from https://www.cafezouk.com/)
21:07:07	123584/123584	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:39:05%20GMT	https://www.cafezouk.com/images/Special%20Dishes/Sp9.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/Special%20Dishes/Sp9.jpg	(from https://www.cafezouk.com/)
21:07:08	123211/123211	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:38:50%20GMT	https://www.cafezouk.com/images/Special%20Dishes/Sp4.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/Special%20Dishes/Sp4.jpg	(from https://www.cafezouk.com/)
21:07:08	162882/162882	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:38:59%20GMT	https://www.cafezouk.com/images/Special%20Dishes/Sp7.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/Special%20Dishes/Sp7.jpg	(from https://www.cafezouk.com/)
21:07:08	41682/41682	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202020%2000:42:16%20GMT	https://www.cafezouk.com/food-menu/item-1.html	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/food-menu/item-1.html	(from https://www.cafezouk.com/)
21:07:09	157340/157340	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:38:41%20GMT	https://www.cafezouk.com/images/Special%20Dishes/Sp11.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/Special%20Dishes/Sp11.jpg	(from https://www.cafezouk.com/)
21:07:09	207652/207652	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:36:23%20GMT	https://www.cafezouk.com/images/Menu/M1a.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/Menu/M1a.jpg	(from https://www.cafezouk.com/)
21:07:09	2368/2368	---M--	200	added ('OK')	image/png	date:Tue,%2031%20May%202016%2011:32:03%20GMT	https://www.cafezouk.com/images/icons/102.png	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/icons/102.png	(from https://www.cafezouk.com/)
21:07:09	22727/22727	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202020%2000:44:24%20GMT	https://www.cafezouk.com/food-menu/item-2.html	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/food-menu/item-2.html	(from https://www.cafezouk.com/)
21:07:10	3677/3677	---M--	200	added ('OK')	image/png	date:Tue,%2031%20May%202016%2011:34:49%20GMT	https://www.cafezouk.com/images/icons/55.png	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/icons/55.png	(from https://www.cafezouk.com/)
21:07:10	136974/136974	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:36:19%20GMT	https://www.cafezouk.com/images/Menu/M1.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/Menu/M1.jpg	(from https://www.cafezouk.com/)
21:07:10	147738/147738	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:36:10%20GMT	https://www.cafezouk.com/images/Menu/Burgers%20Small.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/Menu/Burgers%20Small.jpg	(from https://www.cafezouk.com/)
21:07:10	10836/10836	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202020%2000:45:38%20GMT	https://www.cafezouk.com/food-menu/item-3.html	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/food-menu/item-3.html	(from https://www.cafezouk.com/)
21:07:11	166975/166975	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:36:06%20GMT	https://www.cafezouk.com/images/Menu/Burgers%20Big.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/Menu/Burgers%20Big.jpg	(from https://www.cafezouk.com/)
21:07:11	5626/5626	---M--	200	added ('OK')	image/png	date:Tue,%2031%20May%202016%2011:32:36%20GMT	https://www.cafezouk.com/images/icons/129a.png	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/icons/129a.png	(from https://www.cafezouk.com/)
21:07:12	56043/56043	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202020%2000:46:10%20GMT	https://www.cafezouk.com/food-menu/item-4.html	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/food-menu/item-4.html	(from https://www.cafezouk.com/)
21:07:12	6758/6758	---M--	200	added ('OK')	image/png	date:Tue,%2031%20May%202016%2011:33:35%20GMT	https://www.cafezouk.com/images/icons/176.png	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/icons/176.png	(from https://www.cafezouk.com/)
21:07:13	189172/189172	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:36:13%20GMT	https://www.cafezouk.com/images/Menu/Italian%20Pasta%20Big.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/Menu/Italian%20Pasta%20Big.jpg	(from https://www.cafezouk.com/)
21:07:13	156426/156426	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:36:17%20GMT	https://www.cafezouk.com/images/Menu/Italian-Pasta-Small.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/Menu/Italian-Pasta-Small.jpg	(from https://www.cafezouk.com/)
21:07:13	54098/54098	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Feb%202020%2023:43:02%20GMT	https://www.cafezouk.com/food-menu/item-5.html	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/food-menu/item-5.html	(from https://www.cafezouk.com/)
21:07:13	158552/158552	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:37:12%20GMT	https://www.cafezouk.com/images/Menu/Seafood%20Small.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/Menu/Seafood%20Small.jpg	(from https://www.cafezouk.com/)
21:07:15	133417/133417	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:37:08%20GMT	https://www.cafezouk.com/images/Menu/Seafood%20Big.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/Menu/Seafood%20Big.jpg	(from https://www.cafezouk.com/)
21:07:16	3480/3480	---M--	200	added ('OK')	image/png	date:Tue,%2031%20May%202016%2011:32:35%20GMT	https://www.cafezouk.com/images/icons/129.png	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/icons/129.png	(from https://www.cafezouk.com/)
21:07:17	198592/198592	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:36:35%20GMT	https://www.cafezouk.com/images/Menu/M3a.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/Menu/M3a.jpg	(from https://www.cafezouk.com/)
21:07:17	10549/10549	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202020%2000:20:02%20GMT	https://www.cafezouk.com/food-menu/item-6.html	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/food-menu/item-6.html	(from https://www.cafezouk.com/)
21:07:17	184439/184439	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:36:32%20GMT	https://www.cafezouk.com/images/Menu/M3.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/Menu/M3.jpg	(from https://www.cafezouk.com/)
21:07:18	106173/106173	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:36:48%20GMT	https://www.cafezouk.com/images/Menu/M5a.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/Menu/M5a.jpg	(from https://www.cafezouk.com/)
21:07:18	1851/1851	---M--	200	added ('OK')	image/png	date:Tue,%2031%20May%202016%2011:32:57%20GMT	https://www.cafezouk.com/images/icons/146.png	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/icons/146.png	(from https://www.cafezouk.com/)
21:07:18	130780/130780	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:36:45%20GMT	https://www.cafezouk.com/images/Menu/M5.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/Menu/M5.jpg	(from https://www.cafezouk.com/)
21:07:18	24407/24407	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202020%2000:26:58%20GMT	https://www.cafezouk.com/food-menu/item-7.html	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/food-menu/item-7.html	(from https://www.cafezouk.com/)
21:07:19	2420/2420	---M--	200	added ('OK')	image/png	date:Tue,%2031%20May%202016%2011:32:22%20GMT	https://www.cafezouk.com/images/icons/119.png	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/icons/119.png	(from https://www.cafezouk.com/)
21:07:21	10590/10590	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202020%2000:38:50%20GMT	https://www.cafezouk.com/food-menu/item-8.html	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/food-menu/item-8.html	(from https://www.cafezouk.com/)
21:07:22	196947/196947	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:37:01%20GMT	https://www.cafezouk.com/images/Menu/M7a.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/Menu/M7a.jpg	(from https://www.cafezouk.com/)
21:07:22	3791/3791	---M--	200	added ('OK')	image/png	date:Tue,%2031%20May%202016%2011:33:45%20GMT	https://www.cafezouk.com/images/icons/185.png	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/icons/185.png	(from https://www.cafezouk.com/)
21:07:22	185566/185566	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:36:58%20GMT	https://www.cafezouk.com/images/Menu/M7.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/Menu/M7.jpg	(from https://www.cafezouk.com/)
21:07:23	83/83	---M--	409	error ('Conflict')	text/html	date:Tue,%2019%20Dec%202023%2016:07:22%20GMT	https://www.cafezouk.com/images/contact/reserve-sign-h.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/contact/reserve-sign-h.jpg	(from https://www.cafezouk.com/)
21:07:24	167606/167606	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:36:55%20GMT	https://www.cafezouk.com/images/Menu/M6a.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/Menu/M6a.jpg	(from https://www.cafezouk.com/)
21:07:24	145611/145611	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20May%202016%2011:36:51%20GMT	https://www.cafezouk.com/images/Menu/M6.jpg	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/images/Menu/M6.jpg	(from https://www.cafezouk.com/)
21:07:33	107961/107961	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e71-1a5b9%22	http://cdnjs.cloudflare.com/ajax/libs/gsap/latest/TweenMax.min.js	C:/My%20Web%20Sites/hotnroll/cdnjs.cloudflare.com/ajax/libs/gsap/latest/TweenMax.min.js	(from https://www.cafezouk.com/)
21:07:33	95956/95956	---M--	200	added ('OK')	application/javascript	date:Tue,%2031%20May%202016%2011:40:01%20GMT	https://www.cafezouk.com/js/jquery.v1.11.3.js	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/js/jquery.v1.11.3.js	(from https://www.cafezouk.com/)
21:07:34	239564/239564	---M--	200	added ('OK')	application/javascript	date:Tue,%2031%20May%202016%2011:39:43%20GMT	https://www.cafezouk.com/js/jquery-ui.min.js	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/js/jquery-ui.min.js	(from https://www.cafezouk.com/)
21:07:35	12597/12597	---M--	200	added ('OK')	application/javascript	date:Tue,%2031%20May%202016%2011:39:59%20GMT	https://www.cafezouk.com/js/jquery.stellar.min.js	C:/My%20Web%20Sites/hotnroll/www.cafezouk.com/js/jquery.stellar.min.js	(from https://www.cafezouk.com/)
